Nº Contrato|Contratado|Objeto do Contrato|Contratante|Valor do Contrato|
00000729|CTIS TECNOLOGIA SA|SERVIÇO DE IMPRESSÃO CORPORATIVA COM O FORNECIMENTO DE EQUIPAMENTOS NOVOS MULTIFUNCIONAIS|GUARDA MUNICIPAL DE FORTALEZA|11.556,00|
00001677|CTIS TECNOLOGIA SA|SERVIÇO DE IMPRESSÃO CORPORATIVA|AGENCIA DE FISCALIZACAO DE FORTALEZA|29.851,52|
00000184|CTIS TECNOLOGIA SA|SERVIÇOS DE IMPRESSÃO CORPORATIVA - “OUTSOURCING DE IMPRESSÃO” - COM FORNECIMENTO DE EQUIPAMENTOS NOVOS MULTIFUNCIONAIS, DOTADOS DE SOLUÇÃO EMBARCADA COM WORKFLOW, E IMPRESSORAS NOVAS, TODOS DE PRIMEIRO USO, SUPRIMENTOS (EXCETO PAPEL), MANUTENÇÃO CORRETIVA E PREVENTIVA, FORNECIMENTO DE SISTEMAS DE GESTÃO E DE MONITORAMENTO, E SISTEMA DE ATENDIMENTO DE SUPORTE AOS USUÁRIOS, INCLUINDO O TREINAMENTO NA OPERACIONALIZAÇÃO DOS EQUIPAMENTOS E NO USO DOS SISTEMAS CITADOS.|SECRETARIA REGIONAL DO CENTRO|18.348,00|
00000740|CTIS TECNOLOGIA SA|REF. A CONTRATAÇÃO DE EMPRESA, ATRAVÉS DE ATA DE REGISTRO DE PREÇOS (CARONA), POR INTERMÉDIO DO PREGÃO ELETRÔNIO Nº 20130019 - SEPLAG, QUE TEM POR OBJETO, LOCAÇÃO DE MÁQUINAS, NOVAS MULTIFUNCIONAIS, P/ SUPRIR AS NECESSIDADES DESTA SECRETARIA E SEUS EQUIPAMENTOS CULTURAIS.|SECRETARIA MUNICIPAL DA CULTURA DE FORTALEZA|53.604,24|
00000153|CYBELLY MARQUES SILVANO ME|LOCACAO DE IMPRESSORAS MULTIFUNCIONAIS CONFORME DESCRICAO DO TERMO DE REFERENCIA DO PROCESSO N:2110163953327/2013 PARA ATEN-DER AS NECESSIDADES DA SEGOV.|SECRETARIA MUNICIPAL DE GOVERNO|25.728,00|
00001542|CYBELLY MARQUES SILVANO ME|CONTRATO TEM POR OBJETO A LOCACAO DE IMPRESSORAS PARA ANTENDER AS NECESSIDADES DA GUARDA MUNICIPAL E DEFESA CIVIL DE FORTALEZACONFORME CONTRATO N. 21/2014 - PREGAO PRESENCIAL N.1028/2013|GUARDA MUNICIPAL DE FORTALEZA|11.880,00|
00000817|CYBELLY MARQUES SILVANO ME|CONTRATACAO DE EMPRESA P/PRESTACAO DE SERVICOS DE LOCACAO DE MAQUINAS MULTIFUNCIONAIS P/ATENDER AS NECESSIDADES DA SEUMA ATRAVES DA ADESAO A ARP N.01.028.1/2013 PP N.01.028/2013 DA SAFINDE MARANGUAPE CONFORME CONTRATO N.19/2014.|SECRETARIA MUNICIPAL DE URBANISMO E MEIO AMBIENTE|30.456,00|
00000623|CYBELLY MARQUES SILVANO ME|REGISTRO DE PRECOS VISANDO A PRESTACAO DE SERVICOS DE LOCACAO DE IMPRESSORAS DE INTERESSE DAS UNIDADES GESTORAS DO MUNICIPIO DE MARANGUAPE-CE - ANEXO I DO EDITAL E DA PROPOSTA ADJUDICADA.|SECRETARIA MUNICIPAL DE SEGURANCA CIDADA|25.548,00|
00000007|Companhia De Agua E Esgoto Do Ceara-Cagece|OBRIGA-SE A CAGECE, POR ESTE INSTRUMENTO, A FORNECER ÁGUA TRATADA E/OU COLETA DE ESGOTO AO CONTRATANTE, ESPECIFICAMENTE AO ATENDIMENTO DAS NECESSIDADES DO GABINETE DO PREFEITO, SEU ANEXO E SUA COORDENADORIAS, NO MUNICÍPIO DE FORTALEZA, CEARÁ.|GABINETE DO PREFEITO|100.000,00|
00003811|Companhia De Agua E Esgoto Do Ceara-Cagece|CONSTITUI O OBJETO DO PRESENTE CONTRATO FORNECER ÁGUA TRATADA E, OU, COLETA DE ESGOTO NO IMÓVEL SITUADO A RUA MAJOR FACUNDO, Nº 584 - CENTRO - FORTALEZA - CE.|INSTITUTO DE PLANEJAMENTO DE FORTALEZA|12.000,00|
00002309|Companhia De Agua E Esgoto Do Ceara-Cagece|FORNECIMENTO DE ÁGUA E ESGOTO, PARA O ATENDIMENTO DAS NECESSIDADES DA FUNDAÇÃO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DE FORTALEZA - CITONOVA E CASA DE CULTURA DIGITAL DE FORTALEZA.|FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA|12.000,00|
00001673|Companhia De Agua E Esgoto Do Ceara-Cagece|PRESTACAO DE SERVICO DE AGUA E DE ESGOTO SANITARIO PARA ANEXO DO IPLANFOR|INSTITUTO DE PLANEJAMENTO DE FORTALEZA|12.000,00|
00003665|Companhia De Agua E Esgoto Do Ceara-Cagece|CONTRATO Nº 47/2016/SEPOG -COJUR DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE FORNECIMENTO DE ÁGUA TRATADA E, OU, COLETA DE ESGOTO SANITÁRIO AO CLIENTE, SECRETARIA DO PLANEJAMENTO, ORÇAMENTO E GESTÃO - SEPOG, DE ACORDO COM O TERMO DE INEXIGIBILIDADE Nº 17/2016.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|88.765,20|
00002686|D G LOG CONSTRUCOES LOGISTA E SERVICOS LTDA ME|CONTRATAÇÃO DE EMPRESA ESPECIALIZADA COM FINS DE CONCLUSÃO DAS OBRAS DO CINE TEATRO DO CENTRO URBANO DE CULTURA, ARTE, CIÊNCIA E ESPORTE - CUCA SR VI.|SECRETARIA REGIONAL VI|978.574,14|
00000427|D G LOG CONSTRUCOES LOGISTA E SERVICOS LTDA ME|CONTRATAÇÃO DE EMPRESA PARA REFORMA DE 05 (CINCO) CAMPOS DE FUTEBOL, LOCALIZADOS NOS BAIRROS CONJUNTO CEARÁ, GENIBAÚ, CONJUNTO ESPERANÇA, CONJUNTO PALMEIRAS E PARQUE DOIS IRMÃOS NO MUNICÍPIO DE FORTALEZA, CONFORME ESPECIFICADO NOS ANEXOS DO EDITAL.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|4.546.634,82|
00004132|D P BARBOSA MAQUINAS E FERRAMENTAS LTDA - ME|SUB-ROGAÇÃO DO CONTRATO 6/2016 - AQUISIÇÃO DE MATERIAL DE LIMPEZA URBANA, NO INTUITO DE ATENDER ÀS NECESSIDADES DO MUNICÍPIO DE FORTALEZA, POR UM PERÍODO DE 12 (DOZE) MESES.|SECRETARIA MUNICIPAL DA CONSERVACAO E SERVICOS PUBLICOS|55.339,50|
00001603|D V PINHEIRO ME|CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO, SOB DEMANDA, DE ALIMENTAÇÃO NA MODALIDADE LANCHE, PARA SUPRIR AS NECESSIDADES DO PROJETO APOIO AO DESENVOLVIMENTO TERRITORIAL SOLIDÁRIO.|SECRETARIA MUNICIPAL DO DESENVOLVIMENTO ECONOMICO|32.550,00|
00002636|DAMASCENO & ROCHA ADVOGADOS ASSOCIADOS|CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS PARA EXECUÇÃO DAS AÇÕES DE REGULARIZAÇÃO FUNDIÁRIA DE 03 CONJUNTOS DE MUTIRÃO.|FUNDO MUNICIPAL DE HABITACAO DE INTERESSE SOCIAL|328.223,61|
00002633|DAMASCENO & ROCHA ADVOGADOS ASSOCIADOS|CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS PARA EXECUÇÃO DAS ATIVIDADES DE REGULARIZAÇÃO FUNDIÁRIA DAS GOIABEIRAS.|FUNDO MUNICIPAL DE HABITACAO DE INTERESSE SOCIAL|236.214,00|
00002634|DAMASCENO & ROCHA ADVOGADOS ASSOCIADOS|CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS PARA EXECUÇÃO DAS AÇÕES DE REGULARIZAÇÃO FUNDIÁRIA DO CONJUNTO HABITACIONAL PALMEIRAS.|FUNDO MUNICIPAL DE HABITACAO DE INTERESSE SOCIAL|788.464,71|
00003694|DAMASCENO & ROCHA ADVOGADOS ASSOCIADOS|CONTRATAÇÃO DE EMPRESA P/ PRESTAÇÃO DE SERVIÇOS TÉCNICOS P/ EXECUÇÃO DAS AÇÕES DE REG. FUNDIÁRIA DE 02 COMUNIDADE DE FORTALEZA - NOVA FORTALEZA E AVENIDA BRASIL, COMPREENDENDO ATIVIDADES JURÍDICAS, URBANÍSTICAS E SOCIAIS PARA A ENTREGA DO TÍTULO DO IMÓVEL.|FUNDO MUNICIPAL DE HABITACAO DE INTERESSE SOCIAL|204.493,41|
00002635|DAMASCENO & ROCHA ADVOGADOS ASSOCIADOS|CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS PARA EXECUÇÃO DAS AÇÕES DE REGULARIZAÇÃO FUNDIÁRIA NA COMUNIDADE BOM SUCESSO.|FUNDO MUNICIPAL DE HABITACAO DE INTERESSE SOCIAL|275.797,17|
00004532|DANIELLE PINTO LIMA|CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$ 15.000,00 (QUINZE MIL REAIS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS, ABERTA JUNTO AO BANCO DO BRASIL S.A, EM 02 (DUAS) PARCELAS.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|15.000,00|
00003829|DATERRA CONSTRUCOES E SERVICOS LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO FUTURA E EVENTUAL DOS SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES FÍSICAS PREDIAIS, COM O FORNECIMENTO DE MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, POR UM PERÍODO DE 12(DOZE) MESES, PARA ATENDER ÁS NECESSIDADES DA SECRETARIA REGIONAL I, CONFORME O REGISTRO DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE CUSTOS DE SERVIÇOS DE SERVIÇOS DA SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO E INFRAESTRUTURA DA PREFEITURA DE FORTALEZA.  - SEINF, TABELA SINTÉTICA COM DESONERAÇÃO, REFERÊNCIA SETEMBRO/2014, ACRESCIDA COM BDI DE 26,24% (VINTE E SEIS VÍRGULA E QUATRO POR CENTO).|SECRETARIA REGIONAL I|1.408.500,00|
00004410|DAVID ELIAS DO NASCIMENTO E SÁ CAVALCANTE - EPP|AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA CONFORME ESPECIFICAÇÕES E QUANTITATIVOS|SECRETARIA MUNICIPAL DO DESENVOLVIMENTO ECONOMICO|10.595,64|
00004719|DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES|SELEÇÃO E CONTRATAÇÃO DE SERVIÇOS DE AUDITORIA EXTERNA PARA O PROGRAMA DE TRANSPORTE URBANO DE FORTALEZA II, PROJETO BR-L 1333.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|635.568,51|
00001367|DEMETRIO NEIDES CARNEIRO|CONTRATACAO DE PESSOA FISICA PARA LOCACAO DE IMOVEL NAO RESIDENCIAL DESTINADO AO FUNCIONAMENTO DA ESCOLA MUNICIPAL JESUS CRIS-TO - SER I|FUNDO MUNICIPAL DE EDUCACAO|55.901,16|
00003018|DHOSP DISTRIBUIDORA HOSPITALAR IMPORTACAO E EXPORTACAO LTDA|REFERENTE A AQUISIÇÃO DE MEDICAMENTOS ATRAVES DA ARP 148/2015 PREGAO ELETRONICO 217/2015 CONTRATO 070/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|1.077,00|
00003351|DHOSP DISTRIBUIDORA HOSPITALAR IMPORTACAO E EXPORTACAO LTDA|AQUISIÇÃO DE ANTIMICROBIANOS ORAIS E TÓPICOS, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTO DESTE CONTRATO 102/2016 E NA ATA DE REGISTRO DE PREÇOS N° 038/2015.|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|526,80|
00002982|DHOSP DISTRIBUIDORA HOSPITALAR IMPORTACAO E EXPORTACAO LTDA|AQUISIÇÃO DE MEDICAMENTOS -  ANTIMICROBIANOS|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|878,00|
00003132|DHOSP DISTRIBUIDORA HOSPITALAR IMPORTACAO E EXPORTACAO LTDA|MEDICAMENTOS.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|10.104,96|
00002934|DHOSP DISTRIBUIDORA HOSPITALAR IMPORTACAO E EXPORTACAO LTDA|AQUISIÇÃO DE MEDICAMENTO CONFORME ATA 148/2015, PE 217/2015 ,  CONTRATO 70/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|5.895,00|
00004534|DHOSP DISTRIBUIDORA HOSPITALAR IMPORTACAO E EXPORTACAO LTDA|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE MEDICAMENTOS IV, DESTINADOS AOS HOSPITAIS DA REDE MUNICIPAL DE SAÚDE LIGADOS A SECRETARIA MUNICIPAL DE SAÚDE, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO N° 070/2016 - SMS, PROCESSO N° P026415/2016 E NA ATA DE REGISTRO DE PREÇOS N° 0148/2015, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO QUE TEM COMO FUNDAMENTO O EDITAL DO PREGÃO ELETRÔNICO N° 217/2015 E SEUS ANEXOS CONFORME PROCESSO ADMINISTRATIVO N° P358725/2014.|HOSPITAL LUCIA DE FATIMA/CROA|28.296,00|
00003038|DIAGNOCEL - COMERCIO E REPRESENTAÇÕES LTDA|AQUISIÇÃO DE REAGENTES E INSUMOS DESTINADOS AO CENTRO DE ESPECIALIDADES MÉDICAS JOSÉ DE ALENCAR - CEMJA, TENDO COMO OBRIGAÇÕES ACESSÓRIAS A DISPONIBILIZAÇÃO E INSTALAÇÃO DOS ANALISADORES EM REGIME DE COMODATO, QUANDO NECESSÁRIO, INCLUSIVE A MANUTENÇÃO PREVENTIVA E CORRETIVA, ASSISTÊNCIA TÉCNICA 24H E ASSESSORIA CIENTÍFICA NOS LOCAIS DESTES EQUIPAMENTOS, POR PERÍODO DO 12 MESES. DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO E NA ATP Nº 152/2015.
P.E Nº 139/2015 - CONTRATO SMS Nº 003/2016|CENTRO DE ESPECIALIZACOES MEDICAS JOSE DE ALENCAR|1.256.638,00|
00004050|DIGITRO TECNOLOGIA LTDA|LOCAÇÃO DE SOLUÇÃO DE TELEFONIA ,COMPREENDENDO A RESPECTIVA INSTALAÇÃO,MANUTENÇÃO ,TREINAMENTO DE PESSOAL E AMPLIAÇÃO DO SISTEMA,PARA ATENDIMENTO DAS NECESSIDADES DE COMUNICAÇÃO TELEFÔNICA PARA O PAÇO MUNICIPAL DE FORTALEZA,ATRAVÉS DA SECRETARIA MUNICIPAL DE GOVERNO|SECRETARIA MUNICIPAL DE GOVERNO|39.060,00|
00003736|DISTRIBUIDORA MUNDIAL DE PRODUTOS HOSPITALARES LTDA|MAT.MED.HOSP.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|1.047,60|
00003709|DISTRIBUIDORA MUNDIAL DE PRODUTOS HOSPITALARES LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME ATA 157/2015, PE 123/2014 ,  CONTRATO 89/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|3.492,00|
00003728|DISTRIBUIDORA MUNDIAL DE PRODUTOS HOSPITALARES LTDA|REFERENTE A AQUISIÇÃO DE MATERIAL MATERIAL MEDICO HOSPITALAR (DESCARTÁVEL E OUTROS) ARP Nº 157/2015 E PE Nº 123/2014 CONTRATO Nº 89/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|9.252,00|
00003715|DISTRIBUIDORA MUNDIAL DE PRODUTOS HOSPITALARES LTDA|PROHOSPITAL COMÉRCIO HOLANDA LTDA|SUPERFIO COM. DE PROD. MED. E HOSPITALARES LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR (DESCARTÁVEL E OUTROS) REF. AO PREGÃO ELETRÔNICO Nº 123/2014.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|21.400,00|
00003037|DNE COMERCIO DE PRODUTOS LABORATORIAIS LTDA|AQUISIÇÃO DE REAGENTES E INSUMOS DESTINADOS AO CENTRO DE ESPECIALIDADES MÉDICAS JOSÉ DE ALENCAR - CEMJA, TENDO COMO OBRIGAÇÕES ACESSÓRIAS A DISPONIBILIZAÇÃO E INSTALAÇÃO DOS ANALISADORES EM REGIME DE COMODATO, QUANDO NECESSÁRIO, INCLUSIVE A MANUTENÇÃO PREVENTIVA E CORRETIVA, ASSISTÊNCIA TÉCNICA 24H E ASSESSORIA CIENTÍFICA NOS LOCAIS DESTES EQUIPAMENTOS, POR PERÍODO DO 12 MESES. DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO E NA ATP Nº 152/2015.
P.E Nº 139/2015 - CONTRATO SMS Nº 002/2016|CENTRO DE ESPECIALIZACOES MEDICAS JOSE DE ALENCAR|1.480.364,00|
00003364|DOUGLAS SILVA DE SOUSA|O PRESENTE CONTRATO TEM POR OBJETO A CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$ 10.021,71(DEZ MIL, VINTE E UM REAIS E SETENTA E UM CENTAVOS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS, ABERTA JUNTO AO BANCO DO BRASIL S/A, EM 02 (DUAS) PARCELAS, CONFORME ESTABELECIDO NA CLÁUSULA QUARTA DO PRESENTE INSTRUMENTO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|10.021,71|
00004731|DRIVE A INFORMÁTICA LTDA|AQUISIÇÃO DE MATERIAL PERMANENTE - 25 ( VINTE E CINCO) NOTEBOOKS PARA AMPLIAÇÃO DOS RECURSOS TECNOLÓGICOS DISPONÍVEIS NOS CENTROS URBANOS DE CULTURA, ARTE, CIÊNCIA E ESPORTE|FUNDO MUNICIPAL DE JUVENTUDE DE FORTALEZA|121.350,00|
00003786|DROGAFONTE LTDA|CONTRATO PARA AQUISIÇÃO DE MEDICAMENTOS (MEDICAMENTOS ANTIBIÓTICOS II) DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NA ATA DE RP Nº 069/2016 DO PREGÃO ELETRÔNICO Nº 59/2016 CONTRATO Nº 176/2016- SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|100,00|
00003982|DROGAFONTE LTDA|REFERENTE AQUISIÇAÕ DE MEDICAMENTOS ATRAVES DA ARP 050/2016 PE 040/2016 CONTRATO 164/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|9.156,00|
00004230|DROGAFONTE LTDA|REFERENTE AQUISIÇÃO DE MEDICAMENTOS  ATRAVES DA ARP 69/2016 PE  59/2016 CONTRATO 176/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|1.464,00|
00003975|DROGAFONTE LTDA|AQUISIÇAO DE MEDICAMENTOS PARA DISPENSAÇAO NOS HOSPITAIS MUNICIPAIS ,ATA DE PREÇO DE N-050/2016 CONTRATO DE N-164/2016  PREGAO ELETRONICO DE N-040/2016|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|2.740,00|
00003968|DROGAFONTE LTDA|MEDICAMENTO|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|756,00|
00004083|DROGAFONTE LTDA|AQUISIÇÃO DE MEDICAMENTOS PARA DISPENSAÇÃO NOS HOSPITAIS MUNICIPAIS E SAMU, LIGADOS A SECRETARIA MUNICIPAL DA SAÚDE DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REG DE PREÇOS Nº050/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO. (PREGÃO ELETRÔNICO Nº.040/2016).|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|7.170,00|
00004097|DROGAFONTE LTDA|AQUISIÇÃO DE MEDICAMENTOS (ANTIBIÓTICOS II)  DESTINADOS AOS HOSPITAIS  MUNICIPAIS DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REGISTRO DE PREÇOS Nº069/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO. (PREGÃO ELETRÔNICO Nº.059/2016).|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|3.920,00|
00003949|DROGAFONTE LTDA|AQUISIÇÃO DE MEDICAMENTO CONFORME ATA 50/2016, PE 40/2016 ,  CONTRATO 164/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|3.461,00|
00003960|DROGAFONTE LTDA|MEDICAMENTO|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|8.006,00|
00003888|DROGAFONTE LTDA|AQUISIÇÃO DE MEDICAMENTO CONFORME ATA 69/2016, PE 59/2016 ,  CONTRATO 176/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|960,00|
00004376|DROGAFONTE LTDA|CONTRATO DE AQUISIÇÃO DE MEDICAMENTOS PARA DISPENSAÇÃO NOS HOSPITAIS MUNICIPAIS E SAMU, LIGADOS A SECRETARIA MUNICIPAL DA SAÚDE DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO N° 164/2016 - SMS (PROCESSO N° P197051/2016) E NA ATA DE REGISTRO DE PREÇOS N° 050/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE QUE TEM COMO FUNDAMENTO O EDITAL DO PREGÃO ELETRÔNICO N° 040/2016 E SEUS ANEXOS.|HOSPITAL LUCIA DE FATIMA/CROA|954,00|
00004054|DROGAFONTE LTDA|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE MEDICAMENTOS ANTIBIÓTICOS II, DESTINADOS AOS HOSPITAIS MUNICIPAIS DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO N° 176/2016 - SMS, PROCESSO N° P189919/2016 E NA ATA DE REGISTRO DE PREÇOS N° 069/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO QUE TEM COMO FUNDAMENTO O EDITAL DO PREGÃO ELETRÔNICO N° 059/2016 E SEUS ANEXOS.|HOSPITAL LUCIA DE FATIMA/CROA|1.152,00|
00000110|DUNAS GAS COMERCIAL LTDA|RECARGA DE GÁS LIQUEFEITO DE PETRÓLEO - GLP, DE ACORDO C/ AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO Nº 007/2017 - P. E. Nº 238/2015.|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|30.420,00|
00004870|DUNAS GAS COMERCIAL LTDA|RECARGA DE GÁS LIQUEFEITO DE PETRÓLEO - GLP, PARA ABASTECIMENTO DO HOSPITAL DISTRITAL MARIA JOSÉ BARROSO DE OLIVEIRA.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|33.800,00|
00004811|DUNAS GAS COMERCIAL LTDA|CONTRATO DE AQUISIÇÃO RECARGA DE GÁS LIQUEFEITO DE PETRÓLEO - GLP P45KG, PARA ATENDER AS UNIDADES ESCOLARES DO MUNICÍPIO DE FORTALEZA E OS PRÉDIOS ADMINISTRATIVOS DA SECRETARIA MUNICIPAL DA EDUCAÇÃO - SME.|FUNDO MUNICIPAL DE EDUCACAO|100.000,00|
00004423|E DE BRITO COMÉRCIO E SERVIÇOS LTDA ME|AQUISIÇÃO DE MATERIAL DE PAPELARIA, COM O INTUITO DE FORMAR KITS A SEREM DISTRIBUÍDOS NOS NÚCLEOS DO CONVÊNIO Nº 812515/2014, O QUAL TEM POR OBJETIVO A EXECUÇÃO DO PROGRAMA ESPORTE E LAZER DA CIDADE - PELC, FIRMADO ENTRE O MINISTÉRIO DO ESPORTE E A PREFEITURA MUNICIPAL DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO ÚNICO DA ATA DE REGISTRO DE PREÇOS Nº 72/2016 E NA PROPOSTA DA CONTRATADA.|SECRETARIA MUNICIPAL DO ESPORTE E LAZER|10.200,00|
00004424|E DE BRITO COMÉRCIO E SERVIÇOS LTDA ME|AQUISIÇÃO DE MATERIAL ESPORTIVO E RECREATIVO, COM O OBJETIVO DE FORMAÇÃO DE KITS PARA DISTRIBUIÇÃO E MANUTENÇÃO DOS NÚCLEOS DO PROGRAMA ESPORTE E LAZER DA CIDADE - PELC, FIRMADO ENTRE O MINISTÉRIO DO ESPORTE E A PREFEITURA MUNICIPAL DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO ÚNICO DA ATA DE REGISTRO DE PREÇOS Nº 84/2016 E NA PROPOSTA DA CONTRATADA.|SECRETARIA MUNICIPAL DO ESPORTE E LAZER|131.728,86|
00000152|E DE BRITO COMÉRCIO E SERVIÇOS LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE MATERIAL DE LIMPEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO ÚNICO REFERENTE A EMPRESA CONTRATADA, PREVISTOS NO ANEXO I – TERMO DE REFERÊNCIA DO EDITAL, BEM COMO NO ANEXO DA ATA DE REGISTRO DE PREÇO N° 158/2016, PREGÃO ELETRÔNICO N° 298/2016 – PROCESSO N° 586428/2017.|CENTRAL DE LICITACOES DA PREFEITURA DE FORTALEZA|3.489,10|
00004769|E DE BRITO COMÉRCIO E SERVIÇOS LTDA ME|AQUISIÇÃO DE MATERIAL DE CONSUMO PAR EXECUÇÃO DO PROJETO DE ESTUDO PAR REALIZAÇÃO DE LEVANTAMENTO DE INFORMAÇÕES MUSEOGRÁFICAS ECONÔMICAS PARA ELABORAÇÃO DO ANTEPROJETO DO MUSEU DE CIÊNCIA DE FORTALEZA|FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA|9.966,12|
00003392|EDCON COMERCIO E CONSTRUCOES LTDA|CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DOS SERVIÇOS DE RESTAURAÇÃO E REFORMA DO TEATRO SÃO JOSÉ, LOCALIZADO NO MUNICÍPIO DE FORTALEZA.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|6.102.663,19|
